PHRASE,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"減稅",38219,0,"jian3 shui4","dégrèvement; dégrever; détaxation; détaxe; décote"
"減緩",38220,0,"jian3 huan3","atténuer"
"減肥",38221,0,"jian3 fei2","maigrir; perdre du poids"
"減號",27917,0,"jian3 hao4","signes plus et moins"
"減輕",33916,0,"jian3 qing1","alléger; soulager"
"減退",33917,0,"jian3 tui4","refluer; diminuer; décliner (aller vers le bas)"
"減速",27918,0,"jian3 su4","réduire la vitesse; ralentir; se la couler douce"
"減速器",50101,0,"jian3 su4 qi4","décélérateur; réducteur"
"減震",38222,0,"jian3 zhen4","absorption des chocs; amortissement"
"減震器",52864,0,"jian3 zhen4 qi4",amortisseur
"渝",2619,0,Yu2,changer
"渟",5404,0,ting2,"eau stagnante; eau lisse"
"渠",2620,0,qu2,canal
"渠",2620,1,ju4,"fossé"
"渠道",27919,0,"qu2 dao4","canal; voie"
"渡",1384,0,du4,"traverser; franchir"
"渡假",33918,0,"du4 jia4","passer ses vacances; vacances"
"渡假村",53849,0,"du4 jia3 cun1","Station touristique; Resort"
"渡口",27920,0,"du4 kou3","embarcadère"
"渡河",38223,0,"du4 he2","traverser une rivière"
"渡船",38224,0,"du4 chuan2","bac (bateau)"
"渡輪",38225,0,"du4 lun2","ferry (bateau)"
"渡過",21527,0,"du4 guo4","traverser; passer à travers"
"渡邊",27921,0,"du4 bian1",Watanabe
"渢",5405,0,feng2,flottant
"渣",2621,0,zha1,"résidu; miette"
"渣滓",44134,0,"zha1 zi3","résidu; dépôt; rebut; racaille"
"渤",5406,0,Bo2,"bras de mer"
"渤海",43062,0,"Bo2 Hai3","Mer de Bohai"
"渤海灣",55056,0,"Bo2 hai3 wan1","Baie de Bohai"
"渥",5407,0,wo4,gratifier
"渥太華",55057,0,"Wo4 tai4 hua2",Ottawa
"渦",2622,0,guo1,"(nom d'une rivière)"
"渦",2622,1,wo1,tourbillon
"渦扇",41000,0,"wo1 shan4","turboréacteur"
"渦旋",41001,0,"wo1 xuan2","tourbillon; vortex"
"渦輪",41002,0,"wo1 lun2",turbine
"渦輪增壓",62134,0,"wo1 lun2 zeng1 ya1",Turbocompresseur
"渦輪增壓器",63362,0,"wo1 lun2 zeng1 ya1 qi4",Turbocompresseur
"渦輪機",52865,0,"wo1 lun2 ji1",Turbine
"渫",5408,0,xie4,"se débarrasser de; décharger; draguer (qch)"
"測",721,0,ce4,"mesurer; sonder; prévoir; prédire"
"測定",15615,0,"ce4 ding4","détermination; jaugeage; déterminer"
"測度",21528,0,"ce4 duo2","mesure (math.)"
"測度",21528,1,"ce4 du4","mesure (math.)"
"測控",27922,0,"ce4 kong4","mesure et commande; télémesure et télécommande"
"測算",21529,0,"ce4 suan4",direction
"測繪",33919,0,"ce4 hui4","topographie; cartographie; lever un plan; faire un relevé"
"測繪學",50102,0,"ce4 hui4 xue2",topographie
"測評",27923,0,"ce4 ping2","tester et évaluer"
"測試",21530,0,"ce4 shi4","épreuve; test"
"測試儀",51610,0,"ce4 shi4 yi2",testeur
"測試版",48555,0,"ce4 shi4 ban3","version Béta"
"測謊儀",54467,0,"ce4 huang3 yi2","détecteur de mensonges; polygraphe"
"測距儀",53850,0,"ce4 ju4 yi2","appareil de mesure à distance"
"測速儀",51611,0,"ce4 su4 yi2","célérimètre; vélocimètre"
"測量",21531,0,"ce4 liang2","mesurer; arpenter; sonder"
"測量儀器",60175,0,"ce4 liang4 yi2 qi4","appareil de mesure"
"測量員",48556,0,"ce4 liang4 yuan2","géomètre"
"測量師",48557,0,"ce4 liang4 shi1","géomètre"
"測驗",21532,0,"ce4 yan4","essai; test"
"渭",5409,0,Wei4,"(nom d'une rivière)"
"渭水",43063,0,"wei4 shui3","rivière Wei (Shaanxi)"
"渭河",43777,0,"Wei4 He2","Wei He"
"渮",5410,0,ge1,"rivière dans la province de Shandong"
"港",1385,0,gang3,port
"港人",21533,0,"Gang3 ren2",Hongkongais
"港元",27924,0,"Gang3 yuan2","Dollar de Hong Kong"
"港務局",51612,0,"gang3 wu4 ju2","administration du port"
"港區",27925,0,"gang3 qu1",Minato-ku
"港口",27926,0,"gang3 kou3","port (marine)"
"港口城市",59342,0,"gang3 kou3 cheng2 shi4","ville portuaire"
"港島",38226,0,"Gang3 dao3","Île de Hong Kong"
"港幣",38227,0,"Gang3 bi4","dollar de Hong Kong"
"港澳",41003,0,"Gang3 Ao4","Hong Kong et Macao"
"港澳地區",60884,0,"Gang3 Ao4 di4 qu1","régions de Hong Kong et Macao"
"港澳臺",53851,0,"Gang3 Ao4 Tai2","Hong Kong, Macao et Taïwan"
"港灣",27927,0,"gang3 wan1","port naturel"
"港股",38228,0,"Gang3 gu3","Hang Seng"
"港臺",27928,0,"Gang3 Tai2","Hong Kong et Taïwan"
"渲",2623,0,xuan4,"délavage; délaver"
"渲染",41004,0,"xuan4 ran3","rendu photoréaliste; rendu"
"渴",2624,0,ke3,"avoir soif; être assoiffé; désirer ardemment; brûler de"
"渴望",33920,0,"ke3 wang4","désirer ardemment; brûler de"
"渴求",33921,0,"ke3 qiu2","désirer fortement; avoir envie de"
"渶",5411,0,Ying1,"rivière de la province Shandong (arch.)"
"游擊",33922,0,"you2 ji1","opération de partisans"
"游擊手",51613,0,"you2 ji2 shou3","Arrêt-court"
"游擊隊員",60176,0,"you2 ji1 dui4 yuan2","guérilla; guerre de partisans; troupe de partisans; partisan; guérillero"
"游標",27929,0,"you2 biao1","Curseur (interface)"
"游水",27930,0,"you2 shui3",nager
"游泳",38229,0,"you2 yong3","nager; natation"
"游泳場",52866,0,"you2 yong3 chang3",piscine
"游泳池",54468,0,"you2 yong3 chi2","piscine; bassin de natation"
"游泳衣",54469,0,"you2 yong3 yi1","maillot de bain"
"游絲",38230,0,"you2 si1","fil en spirale; spirale"
"渺",2625,0,miao3,"vague; insignifiant; infime; minime"
"渺小",27931,0,"miao3 xiao3","minime; insignifiant; négligeable"
"渺渺茫茫",62500,0,"miao3 miao3 mang2 mang2","incertain; inconnu; crépu"
"渺茫",41005,0,"miao3 mang2","vague; incertain; imprécis"
"渼",5412,0,mei3,"motif d'ondulation"
"渾",2626,0,hun2,"trouble; stupide"
"渾天儀",52867,0,"hun2 tian1 yi2","Sphère armillaire"
"渾水摸魚",61890,0,"hun2 shui3 mo1 yu2","pêcher en eau trouble"
"渾汗如雨",61891,0,"hun2 han4 ru2 yu3","suer à grosses gouttes; dégouliner de sueur"
"渾河",41006,0,"Hun2 He2","rivière Hun"
"渾渾噩噩",62596,0,"hun2 hun2 e4 e4","naïf et innocent; vivre dans l'abrutissement; vivre au jour le jour"
"渾濁",42359,0,"hun2 zhuo2","trouble; impur"
"渾然",27932,0,"hun2 ran2","complètement; absolument; non divisé; totalement mélangé; confus"
"渾然一體",58418,0,"hun2 ran2 yi1 ti3","entité intégrale; sans soudure"
"渾然不覺",58419,0,"hun2 ran2 bu4 jue2","totalement inconscient"
"渾然天成",57488,0,"hun2 ran2 tian1 cheng2","(expr. idiom.) de la plus haute qualité"
"渾身",33923,0,"hun2 shen1","des pieds à la tête; le corps entier"
"湃",5413,0,pai4,"bruit des vagues"
"湄",2627,0,mei2,bord
"湄公河",53852,0,"Mei2 gong1 He2","Mékong"
"湄洲島",54834,0,"Mei2 zhou1 Dao3","île de Meizhou (Putian)"
"湉",5414,0,tian2,"(lit.) couler fluidement; placide (eau)"
"湊",2628,0,cou4,"réunir; collecter; approcher; rapprocher"
"湊份子",50103,0,"cou4 fen4 zi5","mutualiser les moyens"
"湊合",33924,0,"cou4 he5","réunir; rassembler; accepter faute de mieux; s'accommoder; se contenter; passable"
"湊巧",38231,0,"cou4 qiao3","par hasard; par bonheur; par coïncidence; heureusement; par une coïncidence"
"湊數",33925,0,"cou4 shu4","réunir le nombre suffisant; arrondir une somme"
"湊熱鬧",54470,0,"cou4 re4 nao5","participer à une partie de plaisir; créer plus d'ennuis"
"湊近",33926,0,"cou4 jin4","approcher; se pencher à proximité de"
"湊錢",33927,0,"cou4 qian2","mettre de l'argent en commun (pour un projet)"
"湋",5415,0,wei2,"refluer (eau)"
"湍",5416,0,tuan1,"flux; rejaillir"
"湍急",43399,0,"tuan1 ji2",torrentueux
"湍流",43064,0,"tuan1 liu2",turbulence
"湎",5417,0,mian3,"se plonger"
"湑",5418,0,xu3,"abondant; brillant; esprits"
"湓",5419,0,pen2,"écoulement de l'eau; (nom d'une rivière)"
"湔",5420,0,jian1,"nettoyer; purifier"
"湖",722,0,hu2,lac
"湖人",15616,0,"Hu2 ren2","Los Angeles Lakers"
"湖北",21534,0,"Hu2 bei3",Hubei
"湖區",21535,0,"Hu2 Qu1","Parc national du Lake District"
"湖南",21536,0,"Hu2 nan2",Hunan
"湖南大學",56656,0,"Hu2 nan2 Da4 xue2","Université du Hunan"
"湖水",21537,0,"hu2 shui3",lac
"湖泊",38232,0,"hu2 po1",lac
"湖畔",38233,0,"hu2 pan4","bord du lac"
"湖邊",21538,0,"hu2 bian1","bord du lac"
"湘",2629,0,Xiang1,"(nom d'une rivière); autre nom de la province du Hunan"
"湘菜",41007,0,"Xiang1 cai4","cuisine du Hunan; cuisine hunanaise"
"湘語",33928,0,"Xiang1 yu3","(langue) xiang"
"湘軍",33929,0,"Xiang1 jun1","Armée de Xiang"
"湛",2630,0,zhan4,"(abrév. pour la rivière Xiangjiang dans la province du Hunan)"
"湛江",38234,0,"Zhan4 jiang1",Zhanjiang
"湛江港",54471,0,"Zhan4 jiang1 gang3","port de Canton"
"湛藍",38235,0,"zhan4 lan2","azuré"
"湜",5421,0,shi2,"eau claire; pur"
"湝",5422,0,jie1,"qui coule"
"湟",5423,0,huang2,"rivière Huang (province du Qinghai)"
"湢",5424,0,bi4,"bains publics"
"湣",5425,0,min3,"mixte; confus; pitié"
"湧",2631,0,yong3,"jaillir; surgir; affluer"
"湧出",27933,0,"yong3 chu1","émission"
"湧現",27934,0,"yong3 xian4","surgir; apparaître"
"湩",5426,0,dong4,"lait; son des tambours"
"湫",5427,0,jiao3,"marais; marécage"
"湮",5428,0,yan1,"tomber dans l'oubli; obstruer; boucher"
"湮",5428,1,yin1,plonger
"湮沒",42837,0,"yan1 mo4","enterrer; plonger; oublier; effacer; annihiler"
"湮沒無聞",62135,0,"yan1 mo4 wu2 wen2","jeter aux oubliettes; oublier"
"湮滅",43778,0,"yin1 mie4","détruire; disparaître; annihilation"
"湯",1386,0,tang1,"bouillon; eau chaude; soupe; potage; échauder; chauffer; (nom de famille)"
"湯劑",41008,0,"tang1 ji4","décoction; potion"
"湯加",27935,0,"Tang1 jia1",Tonga
"湯勺",43779,0,"tang1 shao2","Cuillère"
"湯匙",41009,0,"tang1 chi2","cuillère à soupe"
"湯博樂",51614,0,"Tang1 bo2 le4",Tumblr
"湯圓",38236,0,"tang1 yuan2","Tangyuan (nourriture)"
"湯姆",38237,0,"Tang1 mu3",Thomas
"湯姆·克蘭西",63719,0,"Tang1 mu3 · Ke4 lan2 xi1","Tom Clancy"
"湯姆·克魯斯",63734,0,"Tang1 mu3 · Ke4 lu3 si1","Tom Cruise"
"湯姆·索亞歷險記",63934,0,"Tang1 mu3 · Suo3 ya4 Li4 xian3 Ji4","Les Aventures de Tom Sawyer"
"湯姆·羅賓斯",63735,0,"Tang1 mu3 · Luo2 bin1 si1","Tom Robbins"
"湯姆遜",54472,0,"Tang1 mu3 xun4",Thomson
"湯浴",41010,0,"tang1 yu4","bain chaud (arch.)"
"湯藥",38238,0,"tang1 yao4","tisane; décoction"
"湯顯祖",53853,0,"Tang1 Xian3 zu3","Tang Xianzu"
"湱",5429,0,huo4,"(bruit des vagues qui se brisent)"
"湲",5430,0,yuan2,"précipitation (eau)"
"湴",5431,0,pan2,"patauger dans l'eau ou la boue"
"湻",5432,0,chun2,"sincère; honnête"
"湼",5433,0,nie4,"boue noire; teindre en noir"
"溈",5434,0,gui1,"(nom d'une rivière dans la province du Shanxi)"
"溉",2632,0,gai4,irriguer
"溍",5435,0,jin4,"(nom d'une rivière)"
"溎",5436,0,gui4,"rivière Yan"
"源",723,0,yuan2,source
"源代碼",50104,0,"yuan2 dai4 ma3","code source"
"源於",15617,0,"yuan2 yu2","a ses origines dans"
"源氏",33930,0,"yuan2 shi4",Minamoto
"源泉",33931,0,"yuan2 quan2",source
"源流",21539,0,"yuan2 liu2","la source et le cours; l'origine et le développement"
"源源",27936,0,"yuan2 yuan2","continuellement; sans cesse"
"源源不斷",59343,0,"yuan2 yuan2 bu4 duan4","sans arrêt; régulièrement"
"源碼",27937,0,"yuan2 ma3","code source"
"源程序",51615,0,"yuan2 cheng2 xu4","code source"
"源自",15618,0,"yuan2 zi4","provenir de"
"源遠流長",58420,0,"yuan2 yuan3 liu2 chang2","(expr. idiom.) la source est lointaine et le flux est long; de longue date; beaucoup d'eau a coulé sous les ponts depuis lors"
"源頭",21540,0,"yuan2 tou2","cours supérieur"
"準",724,0,zhun3,"exact; précis; sûrement; certainement; autoriser; permettre; critère; standard"
"準保",21541,0,"zhun3 bao3","certainement; pour sûr"
"準假",27938,0,"zhun3 jia3","permission de sortir"
"準備",21542,0,"zhun3 bei4","préparer; s'apprêter à; projeter; compter faire qch"
"準備好了",56657,0,"zhun3 bei4 hao3 le5","être prêt; être tout à fait prêt; s'être bien préparé"
"準備工作",57489,0,"zhun3 bei4 gong1 zuo4","préparatifs"
"準則",21543,0,"zhun3 ze2",norme
"準噶爾",53854,0,"Zhun3 ga2 er3","Dzoungars; Khanat dzoungar"
"準將",21544,0,"zhun3 jiang4","général de brigade"
"準尉",38239,0,"zhun3 wei4","officier technicien (USA); adjudant (UK)"
"準星",21545,0,"zhun3 xing1","guidon de mire"
"準時",15619,0,"zhun3 shi2","à l'heure; ponctuel"
"準格爾",50105,0,"Zhun3 ge2 er3","Bannière de Jungar"
"準生證",48558,0,"zhun3 sheng1 zheng4","permis de naissance"
"準確",21546,0,"zhun3 que4","exact; précis"
"準確度",48559,0,"zhun3 que4 du4","Calcul d'incertitude"
"準確性",48560,0,"zhun3 que4 xing4","Calcul d'incertitude"
"準線",21547,0,"zhun3 xian4",conique
"準繩",38240,0,"zhun3 sheng2","principe; critère; règle; norme"
"溘",5437,0,ke4,"subitement; soudain"
"溛",5438,0,wa1,"former un creux; puits"
"溜",2633,0,liu1,"couler; glisser; s'esquiver; partir en douce; glissant; courant; traînée"
"溜之大吉",59344,0,"liu1 zhi1 da4 ji2","(expr. idiom.) prendre la fuite; tourner les talons; se glisser furtivement; filer en douceur; prendre la poudre d'escampette"
"溜冰",41011,0,"liu1 bing1",patiner
"溜冰場",53855,0,"liu1 bing1 chang3",patinoire
"溜冰鞋",54835,0,"liu1 bing1 xie2",patin
"溜圓",41012,0,"liu1 yuan2","parfaitement rond"
"溜掉",33932,0,"liu1 diao4","esquiver; se dérober à; éluder"
"溜溜",42360,0,"liu1 liu1",Yo
"溜溜球",54473,0,"liu1 liu1 qiu2",yo-yo
"溜舐",44135,0,"liu1 shi4","être obséquieux; flatter outrageusement"
"溜號",33933,0,"liu1 hao4","s'esquiver; se sauver en douce; filer"
"溜走",33934,0,"liu1 zou3",cavaler
"溜達",38241,0,"liu1 da5","flâner; se balader"
"溜鬚拍馬",62307,0,"liu1 xu1 pai1 ma3","ramper; flagorner; courtiser; flatter"
"溝",1387,0,gou1,"fossé; sillon; ravin"
"溝壑",43780,0,"gou1 he4",ravin
"溝渠",41013,0,"gou1 qu2","canal; rigole"
"溝通",27939,0,"gou1 tong1","relier; rejoindre; communiquer; se comprendre; échanger des idées"
"溠",5439,0,zha4,"(nom d'une rivière)"
"溢",2634,0,yi4,"excessif; déborder; regorger; se répandre"
"溢出",27940,0,"yi4 chu1","déborder"
"溢於言表",59345,0,"yi4 yu2 yan2 biao3","exposer ses sentiments dans son discours"
"溢流",33935,0,"yi4 liu2","déversoir de trop-plein"
"溢滿",33936,0,"yi4 man3","débordé"
"溢美",33937,0,"yi4 mei3",flatteur
"溤",5440,0,ma3,"(nom d'une rivière)"
"溥",5441,0,pu3,"étendu; envahissant"
"溥儀",43781,0,"Pu3 yi2",Puyi
"溦",5442,0,wei1,"bruine; pluie fine"
"溧",5443,0,li4,"(nom d'une rivière)"
"溪口",27941,0,"Xi1 kou3","Xikou ou Hsikou"
"溪流",27942,0,"xi1 liu2",ruisseau
"溪澗",43782,0,"xi1 jian4",Ruisseau
"溪谷",38242,0,"xi1 gu3","Vallée"
"溫",725,0,wen1,"réchauffer; attiédir; réviser; revoir; température; tiède; doux"
"溫厚",33938,0,"wen1 hou4","bonhomie; chaleureux et généreux; tendre"
"溫和",15620,0,"wen1 huo5","doux; modéré; aimable"
"溫哥華",50106,0,"Wen1 ge1 hua2",Vancouver
"溫婉",38243,0,"wen1 wan3","au caractère doux"
"溫存",27943,0,"wen1 cun2","aimable; doux; tendre; galant; sympathique"
"溫室",21548,0,"wen1 shi4",serre
"溫室效應",59346,0,"wen1 shi4 xiao4 ying4","effet de serre"
"溫家寶",48561,0,"Wen1 Jia1 bao3","Wen Jiabao"
"溫州",33939,0,"Wen1 zhou1",Wenzhou
"溫州話",51616,0,"wen1 zhou1 hua4","Wenzhou (langue)"
"溫差",21549,0,"wen1 cha1","différence de température"
"溫布利",50107,0,"wen1 bu4 li4",Wembley
"溫帶",21550,0,"wen1 dai4","climat tempéré"
"溫床",33940,0,"wen1 chuang2","serre; foyer; berceau"
"溫度",21551,0,"wen1 du4","température"
"溫度測定",58421,0,"wen1 du4 ce4 ding4","thermométrie"
"溫度表",48562,0,"wen1 du4 biao3","thermomètre"
"溫度計",48563,0,"wen1 du4 ji4","thermomètre"
"溫情",21552,0,"wen1 qing2","sentimental; doux; tendre"
"溫情脈脈",62136,0,"wen1 qing2 mo4 mo4","(expr. idiom.) plein de tendresse"
"溫控器",50108,0,"wen1 kong4 qi4",Thermostat
"溫故知新",56658,0,"wen1 gu4 zhi1 xin1","revoir l'ancien et connaître le nouveau (proverbe des Analectes); se souvenir du passé et comprendre le futur"
"溫文爾雅",60177,0,"wen1 wen2 er3 ya3","(expr. idiom.) cultivé et raffiné"
"溫斯頓",52868,0,"Wen1 si1 dun4",Winston
"溫暖",33941,0,"wen1 nuan3","doux; chaud"
"溫柔",33942,0,"wen1 rou2","doux; tendre; gentil"
"溫泉",33943,0,"wen1 quan2","source chaude"
"溫熱",27944,0,"wen1 re4","tiède"
"溫網",21553,0,"Wen1 wang3","Tournoi de Wimbledon"
"溫習",27945,0,"wen1 xi2","étude; réviser"
"溫順",27946,0,"wen1 shun4","docile; doux"
"溫飽",33944,0,"wen1 bao3","vêtu chaudement et bien nourri"
"溫馨",38244,0,"wen1 xin1","douillet; chaleureux; confortable"
"溫馨提示",60885,0,"wen1 xin1 ti2 shi4","astuce; indication"
"溫馴",38245,0,"wen1 xun4","soumis; docile; apprivoisé; domestiqué"
"溮",5444,0,shi1,"(nom d'une rivière dans la province du Henan)"
"溯源",38246,0,"su4 yuan2","remonter à la source (ou à l'origine)"
"溱",5445,0,zhen1,"(nom d'une rivière)"
"溲",5446,0,sou1,urine
"溳",5447,0,Yun2,"(nom d'une rivière dans le Hebei)"
"溳",5447,1,yun2,"(nom d'une rivière)"
"溴",5448,0,xiu4,brome
"溴化鋰",55538,0,"xiu4 hua4 li3","Bromure de lithium"
"溶",2635,0,rong2,"se dissoudre"
"溶劑",42361,0,"rong2 ji4",solvant
"溶化",33945,0,"rong2 hua4",fusion
"溶栓",44136,0,"rong2 shuan1",thrombolyse
"溶洞",41014,0,"rong2 dong4","karsts et cavités"
"溶液",41015,0,"rong2 ye4","solution (chimie)"
"溶菌酶",55515,0,"rong2 jun1 hui4",lysozyme
"溶蝕",42362,0,"rong2 shi2","dissolvant; érosion par les eaux souterraines; corrosion"
"溶血",38247,0,"rong2 xue4","hémolyse"
"溶解",33946,0,"rong2 jie3",solvatation
"溶解度",51617,0,"rong2 jie3 du4","dissolubilité; solubilité"
"溶解性",51618,0,"rong2 jie3 xing4","solubilité"
"溶質",38248,0,"rong2 zhi4","Soluté"
"溶點",33947,0,"rong2 dian3","point de fusion"
"溷",5449,0,hun4,trouble
"溺",2636,0,ni4,"noyer; s'adonner à; sombrer; gâter"
"溺",2636,1,niao4,"noyer; s'adonner à; gâter"
"溺愛",33948,0,"ni4 ai4","gâter; dorlotement; chouchouter; dorloter; chouchoutage"
"溺死",33949,0,"ni4 si3",noyer
"溺水",33950,0,"ni4 shui3","se noyer"
"溺職",38249,0,"ni4 zhi2","négliger son devoir; manquement au devoir"
"溼",2637,0,shi1,"mouillage (physique)"
"溽",5450,0,ru4,"moite; lourd; humide"
"溾",5451,0,wei1,"pluie légère"
"滁",5452,0,Chu2,"rivière Chu (Anhui)"
"滁州",43783,0,"Chu2 zhou1",Chuzhou
"滂",5453,0,pang1,"précipitation (eau)"
"滂沱",44137,0,"pang1 tuo2",torrentiel
"滂沱大雨",62549,0,"pang1 tuo2 da4 yu3","(expr. idiom.) torrents de pluie"
"滄",1388,0,cang1,"bleu foncé; vert azuré; glauque"
"滄州",38250,0,"Cang1 zhou1",Cangzhou
"滄州市",52869,0,"Cang1 zhou1 Shi4",Cangzhou
"滄桑",38251,0,"cang1 sang1","vicisstudes de la vie"
"滄海",27947,0,"cang1 hai3",mer
"滄海一粟",62429,0,"cang1 hai3 yi1 su4","(expr. idiom.) une goutte dans l'océan"
"滄海桑田",61430,0,"cang1 hai3 sang1 tian2","On ne boit jamais deux fois la même eau; les vicissitudes de la vie; les aléas des choses de ce monde"
"滅",1389,0,mie4,"éteindre; exterminer"
"滅亡",38252,0,"mie4 wang2","anéantir; détruire"
"滅口",27948,0,"mie4 kou3","tuer un témoin; faire disparaître une personne qui pourrait trahir un secret"
"滅失",27949,0,"mie4 shi1",perte
"滅掉",27950,0,"mie4 diao4","anéantir; réprimer"
"滅族",33951,0,"mie4 zu2","extermination d'une famille entière (ancienne punition chinoise)"
"滅火",33952,0,"mie4 huo3","éteindre un incendie; lutte contre les incendies"
"滅火器",51619,0,"mie4 huo3 qi4",extincteur
"滅火系統",60178,0,"mie4 huo3 xi4 tong3","système de lutte contre l'incendie"
"滅種",27951,0,"mie4 zhong3","Extinction des espèces"
"滅絕",33953,0,"mie4 jue2","désacclimater; exterminer; annihiler; extinction; anéantir; disparition; aneantissement; annihilation; extermination"
"滅絕人性",59347,0,"mie4 jue2 ren2 xing4","sauvage; cannibale"
"滅菌",41016,0,"mie4 jun1","stérilisation (microbiologie)"
"滅門",27952,0,"mie4 men2","exterminer une famille entière"
"滅除",27953,0,"mie4 chu2","éliminer; tuer"
"滅鼠藥",54474,0,"mie4 shu3 yao4",mort-aux-rats
"滇",5454,0,Dian1,"autre nom de la province du Yunnan"
"滇池",43784,0,"Dian1 chi2","Lac Dian"
"滇紅",43400,0,"Dian1 hong2","thé Dian Hong"
"滇藏川",55412,0,"Dian1 Zang4 Chuan1","Yunnan, Tibet et Sichuan"
"滉",5455,0,huang3,"étendue d'eau lumineuse"
"滊",5456,0,xie1,"étang salin"
"滊",5456,1,xi4,"(nom d'une rivière)"
"滋",1390,0,zi1,"croître; nourrir; causer; faire naître"
"滋事",27954,0,"zi1 shi4","causer des ennuis; provoquer un différend"
"滋味",33954,0,"zi1 wei4","goût; saveur"
"滋擾",38253,0,"zi1 rao3","causer des ennuis; provoquer une dispute"
"滋潤",41017,0,"zi1 run4","humidifier; humecter"
"滋生",21554,0,"zi1 sheng1","se reproduire; se multiplier; causer; provoquer"
"滋補",33955,0,"zi1 bu3","fortifiant; tonique"
"滋補品",51620,0,"zi1 bu3 pin3","tonique; revigorant"
"滋長",27955,0,"zi1 zhang3","engendrer; développer"
"滋養",33956,0,"zi1 yang3",nourrir
"滌",5457,0,di2,nettoyer
"滌棉",44138,0,"di2 mian2","mélange de polyester et de coton"
"滌淨",43785,0,"di2 jing4","purifier; purger"
"滌綸",44139,0,"di2 lun2",polyester
"滌蕩",44140,0,"di2 dang4","balayer; éliminer"
"滎",5458,0,xing2,"(nom de lieu)"
"滏",5459,0,fu3,"(rivière du Hebei)"
"滑",1391,0,hua2,"glisser; lisse; glissant; rusé"
"滑冰",38254,0,"hua2 bing1","patiner; patinage"
"滑出",21555,0,"hua2 chu1",glisser
"滑動",27956,0,"hua2 dong4","glisser; mouvement de glissement"
"滑坡",38255,0,"hua2 po1","éboulement de (terrain, terre); glissement de terrain"
"滑旱冰",54836,0,"hua2 han4 bing1","patin à roulettes"
"滑板",27957,0,"hua2 ban3",Skateboard
"滑板車",50109,0,"hua2 ban3 che1",trottinette
"滑梯",38256,0,"hua2 ti1","Toboggan (glissoire)"
"滑水",27958,0,"hua2 shui3","ski nautique"
"滑溜",41018,0,"hua2 liu5","lisse; glissant"
"滑溜",41018,1,"hua2 liu1","faire sauter dans une sauce épaisse"
"滑石",33957,0,"hua2 shi2",talc
"滑石粉",53856,0,"hua2 shi2 fen3",Talc
"滑移",38257,0,"hua2 yi2","glissement gravitaire de sédiments; slumping"
"滑稽",41019,0,"hua2 ji1","comique; risible; ridicule; farce; bouffonnerie"
"滑竿",41020,0,"hua2 gan1","chaise à porteurs de style chinois"
"滑翔",38258,0,"hua2 xiang2",planer
"滑翔傘",54837,0,"hua2 xiang2 san3","parapente; parapentiste"
"滑翔機",51621,0,"hua2 xiang2 ji1",planeur
"滑膩",41021,0,"hua2 ni4","(se dit de la peau) doux; lisse; velouté"
"滑落",33958,0,"hua2 luo4",glisser
"滑蓋手機",60179,0,"hua2 gai4 shou3 ji1","téléphone à clavier coulissant"
"滑行",27959,0,"hua2 xing2","glisser; rouler"
"滑車",27960,0,"hua2 che1",poulie
"滑車神經",59348,0,"hua2 che1 shen2 jing1","nerf trochléaire"
"滑輪",38259,0,"hua2 lun2",poulie
"滑鐵盧",54475,0,"Hua2 tie3 lu2",Waterloo
"滑雪",38260,0,"hua2 xue3","ski; faire du ski"
"滑雪區域",61892,0,"hua2 xue3 di4 qu1","zone skiable"
"滑雪場",52870,0,"hua2 xue3 chang3","station de ski; domaine skiable"
"滑雪服",52871,0,"hua2 xue3 fu2","combinaison de ski"
"滑雪板",52872,0,"hua2 xue3 ban3","ski (équipement)"
"滑雪者",52873,0,"hua2 xue3 zhe3",skieur
"滑雪道",51622,0,"hua2 xue3 dao4","piste de ski"
"滑音",27961,0,"hua2 yin1","glissando; son de transition; port de voix"
"滑頭",27962,0,"hua2 tou2","rusé; malin"
"滑鼠",38261,0,"hua2 shu3","souris (informatique)"
"滑鼠手",52874,0,"hua2 shu3 shou3","syndrome du canal carpien (Tw)"
"滓",5460,0,zi3,"lie; vice"
"滔",2638,0,tao1,"torrentiel; immense"
"滔天",27963,0,"tao1 tian1","énorme; horrible; s'élever vers le ciel"
"滔滔",42363,0,"tao1 tao1","en torrents; impétueusement"
"滔滔不絕",61893,0,"tao1 tao1 bu4 jue2","ne pas tarir; sans cesse"
"滕",5461,0,Teng2,"(nom de famille); nom d'un comté dans le Shandong"
"滘",5462,0,jiao4,"(nom de lieu dans le Guangdong)"
"滙",5463,0,hui4,"confluer; converger"
"滛",5464,0,yin2,"débauché; pornographique; obscène"
"滫",5465,0,xiu1,"eau dans laquelle le riz est cuit"
"滬",5466,0,Hu4,"autre nom de la ville de Shanghai"
"滬上",42838,0,"Hu4 shang4","(surnom pour Shanghai)"
"滬劇",43401,0,"Hu4 ju4","opéra de Shanghai"
"滬寧",43786,0,"Hu4 Ning2","Shanghai et Nankin"
"滬江",43402,0,"Hu4 jiang1","(surnom pour Shanghai)"
"滬綜指",55276,0,"Hu4 zong1 zhi3","SSE Composite Index"
"滬菜",43787,0,"hu4 cai4","cuisine shanghaienne"
"滮",5467,0,biao1,"rivière Biao (Shaanxi); flots"
"滯",2639,0,zhi4,stagner
